date,temp_meteostat,temp_min_meteostat,temp_max_meteostat,humidity_meteostat,precipitation_meteostat,snow_depth_meteostat,wind_speed_meteostat,wind_gust_meteostat,pressure_meteostat,sunshine_meteostat,cloud_cover_meteostat
2025-04-23,34.1,27.0,39.3,24,0.0,,9.9,,1010.2,,0
2025-04-24,30.2,26.7,35.0,44,0.0,,11.0,,1006.8,,0
2025-04-25,30.5,24.7,37.8,52,0.0,,12.1,,1006.6,,0
2025-04-26,34.0,27.0,43.0,33,0.0,,10.4,,1006.3,,3
2025-04-27,36.5,30.0,43.7,20,0.0,,11.4,,1006.7,,4
2025-04-28,37.0,32.0,43.4,15,0.0,,12.1,,1005.6,,3
2025-04-29,36.6,31.0,44.0,18,0.0,,12.0,,1004.2,,1
2025-04-30,35.7,31.0,42.0,25,0.0,,13.0,,1005.1,,0
2025-05-01,34.8,31.0,42.0,24,0.0,,12.4,,1006.3,,0
2025-05-02,34.1,27.9,40.3,34,0.0,,10.1,,1006.4,,0
2025-05-03,34.0,28.5,39.5,34,0.0,,14.3,,1004.9,,1
2025-05-04,35.5,29.6,42.5,24,0.0,,14.3,,1003.6,,1
2025-05-05,36.0,29.9,42.6,22,0.0,,12.3,,1003.2,,1
2025-05-06,33.9,29.7,38.4,37,0.0,,17.9,,1003.6,,0
2025-05-07,30.1,28.0,33.4,47,0.0,,21.0,,1004.8,,0
2025-05-08,28.5,23.7,32.9,53,0.0,,19.7,,1004.3,,0
2025-05-09,29.4,23.4,36.9,56,0.0,,12.8,,1005.9,,0
2025-05-10,31.2,26.0,34.9,64,0.0,,12.6,,1006.8,,0
2025-05-11,33.2,29.0,38.5,46,0.0,,12.7,,1005.8,,0
2025-05-12,35.2,30.2,41.0,31,0.0,,11.2,,1004.0,,1
2025-05-13,35.9,30.9,42.6,26,0.0,,12.3,,1003.9,,0
2025-05-14,35.7,30.7,41.5,30,0.0,,14.7,,1004.9,,0
2025-05-15,36.2,30.5,41.5,26,0.0,,14.2,,1006.3,,0
