location_id,location_name,timezone,country_code,sensor_id,sensor_name,parameter,parameter_source_name,units,period_label,date_local_start,date_local_end,date_utc_start,date_utc_end,value,summary_min,summary_max,summary_median,coverage_expected_count,coverage_observed_count,coverage_percent_complete,coverage_percent_coverage
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-16T00:00:00+04:00,2024-09-17T00:00:00+04:00,2024-09-15T20:00:00Z,2024-09-16T20:00:00Z,61.7,36.31666660308838,73.09999974568684,63.71249977747599,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-17T00:00:00+04:00,2024-09-18T00:00:00+04:00,2024-09-16T20:00:00Z,2024-09-17T20:00:00Z,52.5,31.699999968210857,64.05000019073486,49.72499990463257,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-18T00:00:00+04:00,2024-09-19T00:00:00+04:00,2024-09-17T20:00:00Z,2024-09-18T20:00:00Z,51.5,32.71666669845581,76.14166641235352,47.493750254313156,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-19T00:00:00+04:00,2024-09-20T00:00:00+04:00,2024-09-18T20:00:00Z,2024-09-19T20:00:00Z,64.4,46.00833384195963,76.70000012715657,67.41041692097983,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-20T00:00:00+04:00,2024-09-21T00:00:00+04:00,2024-09-19T20:00:00Z,2024-09-20T20:00:00Z,55.1,36.47083314259847,67.58750025431316,60.274999936421715,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-21T00:00:00+04:00,2024-09-22T00:00:00+04:00,2024-09-20T20:00:00Z,2024-09-21T20:00:00Z,46.8,31.90000041325887,70.37499872843425,45.0979167620341,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-22T00:00:00+04:00,2024-09-23T00:00:00+04:00,2024-09-21T20:00:00Z,2024-09-22T20:00:00Z,39.4,27.13333336512248,51.31666628519694,40.02083317438762,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-23T00:00:00+04:00,2024-09-24T00:00:00+04:00,2024-09-22T20:00:00Z,2024-09-23T20:00:00Z,46.4,29.65000009536743,88.41666666666667,39.94999980926514,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-24T00:00:00+04:00,2024-09-25T00:00:00+04:00,2024-09-23T20:00:00Z,2024-09-24T20:00:00Z,87.6,57.07083384195963,156.75000063578287,79.05833276112875,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-25T00:00:00+04:00,2024-09-26T00:00:00+04:00,2024-09-24T20:00:00Z,2024-09-25T20:00:00Z,76.9,58.53333346048991,93.50833257039388,76.33333333333334,24,24,100.0,100.0
